Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
1,0,1,1,1,4,4,21,1,2,2,0,104470,0.0,18,0,6.0,3,6,1,4,3,3,3.0,2.0,1.0
3,0,2,2,8,4,1,22,1,1,6,0,96670,3.0,23,0,28.0,2,10,1,6,2,4,1.0,2.0,2.0
4,0,2,1,11,4,1,23,0,2,6,1,21480,3.0,11,0,21.0,2,5,1,3,3,3,3.0,3.0,2.0
1,0,1,1,16,4,3,25,1,1,2,2,65130,0.0,11,1,10.0,2,10,0,9,3,3,2.0,4.0,2.0
4,0,2,1,1,4,4,26,0,1,6,1,67990,3.0,11,0,12.0,2,10,0,8,3,3,2.0,4.0,3.0
1,0,1,1,9,3,1,27,0,1,3,1,162910,0.0,22,0,5.0,3,5,3,3,3,4,1.0,1.0,3.0
2,0,2,2,5,1,2,28,1,1,6,2,27050,0.0,11,0,17.0,2,17,5,7,3,3,4.0,4.0,3.0
3,1,1,1,1,2,3,29,1,2,6,0,103330,3.0,14,1,19.0,2,1,0,0,2,3,4.0,3.0,1.0
2,0,2,2,2,3,2,30,0,1,3,0,44480,9.0,12,0,10.0,3,2,1,2,2,3,4.0,4.0,3.0
1,1,2,1,4,3,3,31,1,3,6,0,68540,2.0,11,0,5.0,5,3,0,2,2,3,1.0,2.0,3.0
1,0,2,1,7,3,4,32,1,1,1,2,96370,0.0,13,0,5.0,6,5,0,2,2,3,4.0,4.0,3.0
3,0,1,1,1,1,3,33,0,2,6,2,35910,9.0,13,0,22.0,2,3,1,2,3,3,3.0,1.0,3.0
2,0,2,2,5,3,5,34,1,3,7,2,54050,4.0,14,0,10.0,2,8,7,7,3,3,3.0,2.0,3.0
2,0,1,1,9,4,3,35,1,1,7,0,46840,0.0,16,1,2.0,4,2,2,2,3,3,4.0,2.0,2.0
1,1,2,1,8,3,3,36,1,2,3,2,157870,0.0,12,2,8.0,5,8,7,4,3,3,4.0,4.0,3.0
2,0,1,2,9,1,2,37,1,1,2,1,15140,0.0,14,0,4.0,3,4,1,2,3,3,2.0,4.0,2.0
3,0,1,2,2,2,2,38,1,3,5,1,29560,5.0,13,0,23.0,2,20,4,8,3,3,3.0,2.0,4.0
1,1,2,1,1,4,1,39,1,1,7,2,23350,0.0,14,2,0.0,3,0,0,0,2,3,3.0,3.0,3.0
2,0,2,2,20,2,1,40,1,1,2,1,51540,0.0,19,0,11.0,2,11,6,9,2,3,3.0,2.0,2.0
2,0,1,1,8,3,4,41,0,3,7,1,69620,4.0,12,2,4.0,2,1,0,0,2,3,3.0,,3.0
4,0,2,1,2,3,1,42,1,2,2,0,56750,5.0,13,0,13.0,2,4,1,2,2,3,4.0,2.0,3.0
3,0,2,1,29,1,1,43,1,1,2,2,23790,0.0,12,0,22.0,6,22,0,4,3,3,4.0,2.0,3.0
1,0,2,2,7,3,1,44,1,1,6,2,38120,0.0,15,0,0.0,3,0,0,0,3,3,4.0,3.0,3.0
1,0,2,1,9,3,3,45,1,1,8,2,46480,0.0,23,2,8.0,2,8,0,7,2,4,2.0,1.0,3.0
2,0,2,1,8,1,5,46,1,1,4,1,29360,4.0,12,1,10.0,2,8,7,7,3,3,2.0,4.0,2.0
2,0,2,2,5,4,2,47,0,2,1,0,21050,0.0,20,0,18.0,3,18,3,7,3,4,3.0,4.0,2.0
2,0,0,1,5,4,1,48,1,1,7,1,85780,7.0,21,0,11.0,4,9,0,8,3,4,2.0,2.0,3.0
2,0,2,2,2,3,2,49,1,2,2,1,27060,0.0,21,1,13.0,4,13,4,8,3,4,4.0,3.0,2.0
2,0,2,1,5,2,1,50,0,3,6,1,63840,3.0,19,2,19.0,4,10,0,1,2,3,1.0,2.0,3.0
4,0,0,1,2,3,1,51,1,2,4,0,39680,2.0,13,2,12.0,3,5,1,2,2,3,4.0,3.0,3.0
2,0,2,1,20,1,5,52,0,3,6,1,99070,0.0,13,1,5.0,3,5,0,3,2,3,3.0,4.0,3.0
2,0,2,2,7,4,2,53,1,2,7,1,132250,3.0,21,1,9.0,2,2,1,0,3,4,1.0,1.0,3.0
3,0,1,1,3,1,3,54,0,1,7,0,35400,0.0,13,0,24.0,6,24,9,11,3,3,1.0,1.0,3.0
2,0,2,2,16,4,2,55,0,2,6,0,28040,0.0,19,2,2.0,0,2,2,2,3,3,3.0,4.0,1.0
2,0,1,1,9,3,1,56,1,4,5,1,193920,6.0,12,1,12.0,3,10,8,8,3,3,4.0,2.0,3.0
2,0,2,2,1,4,1,57,1,1,7,1,196650,0.0,22,1,21.0,6,21,11,10,3,4,3.0,1.0,3.0
3,0,1,1,7,4,3,58,1,4,6,2,24390,0.0,15,0,8.0,2,8,1,7,3,3,3.0,4.0,3.0
3,0,2,1,1,3,1,59,1,3,4,2,73140,7.0,22,0,25.0,2,7,0,7,3,4,3.0,3.0,3.0
4,1,2,1,7,1,1,60,0,2,6,1,47740,2.0,18,1,11.0,2,8,7,7,3,3,3.0,2.0,2.0
1,0,2,1,15,4,3,61,1,3,6,2,39020,0.0,22,0,4.0,2,4,1,2,3,4,3.0,2.0,2.0
2,0,2,1,1,3,1,62,1,3,6,1,26620,0.0,11,1,13.0,6,13,11,9,4,3,3.0,2.0,3.0
1,0,2,1,13,2,3,63,0,4,5,2,28560,0.0,12,2,5.0,5,5,0,4,4,3,4.0,3.0,3.0
2,0,2,2,24,3,1,64,1,2,0,0,10810,4.0,11,3,13.0,4,7,1,7,4,3,4.0,4.0,3.0
2,0,2,1,7,3,5,65,1,2,0,2,24720,7.0,13,0,10.0,2,7,0,7,3,3,1.0,4.0,2.0
1,1,2,1,9,4,3,66,1,1,7,1,56730,5.0,14,1,5.0,4,3,2,2,2,3,1.0,4.0,2.0
1,0,2,1,13,3,1,67,0,4,5,1,41970,1.0,13,0,11.0,3,10,1,9,3,3,4.0,4.0,3.0
2,0,1,1,2,1,1,68,0,1,3,1,97130,0.0,17,0,10.0,5,10,8,9,2,3,3.0,3.0,3.0
2,0,1,1,19,4,3,69,0,1,6,1,20620,0.0,13,0,21.0,4,21,13,3,3,3,3.0,4.0,3.0
2,1,2,1,1,1,3,70,0,1,2,1,42840,4.0,17,1,12.0,0,1,0,0,3,3,4.0,3.0,2.0
2,0,1,2,4,2,1,71,1,4,6,2,47880,3.0,11,1,9.0,0,7,0,1,3,3,2.0,4.0,2.0
3,0,2,1,4,3,1,72,0,2,0,1,59060,4.0,23,0,21.0,4,3,1,1,4,4,4.0,3.0,3.0
3,0,1,1,14,3,3,73,0,5,5,0,38860,0.0,17,2,9.0,2,9,0,0,3,3,3.0,3.0,4.0
1,0,0,1,2,3,1,74,1,1,5,1,168230,0.0,17,0,5.0,3,5,1,4,3,3,3.0,2.0,3.0
4,0,1,1,1,4,1,75,1,2,6,2,29330,3.0,12,2,20.0,2,4,0,3,3,3,4.0,3.0,2.0
3,0,2,1,7,2,1,76,0,2,3,1,65000,8.0,23,0,10.0,3,1,0,0,3,4,3.0,1.0,2.0
3,0,2,2,3,1,2,77,0,1,7,1,171740,9.0,14,1,12.0,6,10,9,8,3,3,4.0,4.0,3.0
2,0,2,1,2,4,4,78,1,4,6,1,50330,2.0,14,2,6.0,6,4,0,2,3,3,2.0,4.0,2.0
1,1,2,1,29,3,3,79,0,1,6,1,23070,0.0,13,1,7.0,0,7,0,7,3,3,2.0,1.0,2.0
1,0,2,0,8,3,3,80,1,3,8,2,25870,0.0,22,2,3.0,3,3,2,2,3,4,2.0,4.0,3.0
1,0,2,1,10,3,1,81,1,2,6,0,55070,0.0,12,2,10.0,2,10,1,2,2,3,4.0,3.0,3.0
1,0,2,1,11,2,3,82,1,1,3,1,43930,0.0,18,1,8.0,2,8,0,7,2,3,2.0,2.0,3.0
2,0,2,2,1,4,1,83,1,2,0,0,133480,7.0,14,0,8.0,4,6,0,4,3,3,4.0,4.0,2.0
2,0,2,1,28,4,3,84,1,1,2,0,65830,0.0,12,0,11.0,1,11,2,9,3,3,3.0,4.0,3.0
2,0,2,1,6,3,3,85,0,3,3,2,81030,0.0,15,1,11.0,5,11,4,10,3,3,3.0,4.0,
1,0,2,1,3,4,1,86,1,3,7,0,39780,0.0,11,0,7.0,0,7,1,7,3,3,4.0,2.0,3.0
2,0,2,2,16,2,5,87,1,3,3,2,25440,0.0,13,1,16.0,3,16,0,13,4,3,3.0,2.0,3.0
1,0,2,1,20,4,1,88,1,1,4,0,53990,0.0,23,0,4.0,2,4,0,2,2,4,3.0,4.0,2.0
3,0,2,1,9,2,1,89,0,1,2,2,54870,6.0,19,2,8.0,0,5,1,2,3,3,4.0,2.0,3.0
3,0,1,2,1,3,3,90,0,2,2,2,68340,3.0,16,1,5.0,2,0,0,0,4,3,2.0,3.0,3.0
3,0,2,1,3,4,1,91,1,1,3,2,10910,2.0,22,0,16.0,0,1,0,0,1,4,1.0,4.0,3.0
1,0,0,2,22,4,2,92,1,2,1,1,57360,0.0,22,0,4.0,1,4,0,2,2,4,4.0,3.0,2.0
3,0,2,2,7,4,3,93,1,3,6,0,22260,0.0,12,1,3.0,3,3,1,0,2,3,3.0,3.0,3.0
2,0,2,1,2,3,3,94,1,2,6,1,57470,0.0,13,0,8.0,0,8,0,7,3,3,3.0,2.0,3.0
3,0,2,2,13,4,3,95,1,4,7,1,98540,3.0,16,1,15.0,2,0,0,0,2,3,1.0,3.0,1.0
2,0,2,1,8,5,5,96,1,2,4,0,54670,4.0,12,0,13.0,2,7,6,7,3,3,3.0,1.0,3.0
1,0,0,2,25,4,4,97,1,1,0,1,53800,7.0,21,1,4.0,0,2,2,2,3,4,4.0,3.0,4.0
1,0,2,2,28,3,3,98,0,5,2,1,51510,0.0,15,3,8.0,3,8,7,7,3,3,3.0,3.0,3.0
3,0,2,2,2,2,3,99,0,1,2,2,21330,3.0,13,2,14.0,2,1,0,0,3,3,1.0,4.0,3.0
1,1,1,1,9,3,3,100,0,4,4,2,178750,0.0,12,0,3.0,5,3,1,2,2,3,1.0,2.0,3.0
2,0,0,0,28,3,0,101,1,2,2,2,24320,4.0,22,0,7.0,4,1,0,0,1,4,4.0,4.0,3.0
2,0,1,1,6,3,1,102,0,2,6,1,47710,4.0,13,1,16.0,2,13,1,12,3,3,1.0,4.0,3.0
4,0,2,1,21,4,1,103,1,5,6,1,191610,2.0,18,0,15.0,2,3,1,2,1,3,4.0,3.0,3.0
2,0,2,1,8,3,4,104,1,2,7,1,50870,3.0,14,1,10.0,3,7,1,7,3,3,4.0,3.0,3.0
1,0,0,1,1,5,1,105,0,2,3,2,28630,0.0,14,0,3.0,2,3,2,2,1,3,1.0,4.0,2.0
2,1,2,0,28,2,0,106,0,5,3,2,55610,0.0,21,1,1.0,3,1,0,0,1,4,4.0,3.0,3.0
2,0,2,1,5,3,1,107,1,4,6,1,21440,6.0,19,0,17.0,3,5,0,3,4,3,3.0,1.0,3.0
3,0,0,2,2,4,2,108,0,2,2,1,30650,2.0,11,0,7.0,3,1,0,0,3,3,3.0,3.0,4.0
3,1,1,1,16,1,3,109,0,1,6,2,28100,0.0,11,0,8.0,3,8,7,7,4,3,1.0,2.0,3.0
3,0,2,1,9,3,3,110,0,3,2,2,98880,6.0,15,0,20.0,2,4,1,3,3,3,4.0,4.0,3.0
2,1,2,1,8,3,3,111,0,1,0,1,86280,2.0,20,0,8.0,2,6,1,0,2,4,3.0,3.0,3.0
2,0,2,1,1,3,1,112,1,4,1,2,28670,0.0,24,0,2.0,5,2,2,2,3,4,,2.0,3.0
1,1,2,0,10,2,0,113,1,1,2,2,53730,0.0,12,1,1.0,2,1,0,0,3,3,3.0,2.0,3.0
1,0,2,1,1,3,1,114,0,2,5,2,66670,9.0,12,1,6.0,6,3,1,2,4,3,4.0,4.0,3.0
2,0,2,1,29,3,1,115,0,3,7,2,50030,9.0,15,0,10.0,2,1,0,0,3,3,3.0,2.0,3.0
1,0,2,2,2,3,1,116,1,1,7,0,23670,0.0,12,1,5.0,2,5,0,4,3,3,4.0,2.0,3.0
1,0,2,1,2,2,3,117,1,3,3,2,28580,0.0,12,0,7.0,2,7,0,7,2,3,2.0,4.0,3.0
3,0,2,2,2,3,5,118,1,2,4,2,52040,8.0,14,1,26.0,3,5,0,0,3,3,2.0,3.0,3.0
4,0,2,1,1,2,1,119,1,1,7,1,41050,4.0,22,1,18.0,2,7,0,7,3,4,3.0,4.0,2.0
2,0,2,2,15,2,1,120,1,1,7,1,96790,4.0,12,0,6.0,1,2,2,2,3,3,4.0,3.0,3.0
2,1,0,1,7,3,1,121,1,1,8,2,56170,8.0,25,1,9.0,3,5,0,4,3,4,1.0,4.0,2.0
4,0,2,2,26,3,2,122,1,1,2,2,104480,2.0,13,0,30.0,3,5,1,2,3,3,3.0,4.0,3.0
1,0,2,1,1,3,1,123,0,5,3,0,28970,0.0,18,3,5.0,4,5,0,3,3,3,4.0,3.0,4.0
1,0,2,1,3,3,1,124,0,2,3,1,59680,0.0,13,0,1.0,3,1,0,0,3,3,3.0,2.0,3.0
1,1,1,2,14,3,1,125,1,2,3,2,75100,0.0,18,3,6.0,3,6,0,4,3,3,3.0,,3.0
1,0,2,1,16,5,4,126,1,1,6,1,29910,0.0,19,2,2.0,3,2,1,2,2,3,1.0,2.0,3.0
2,0,2,1,1,3,3,127,0,5,0,1,196360,0.0,12,1,10.0,3,10,9,0,3,3,2.0,3.0,3.0
1,1,1,2,3,2,2,128,1,3,6,2,11290,9.0,19,0,3.0,2,1,0,0,2,3,3.0,4.0,3.0
2,0,2,1,10,1,5,129,1,1,7,0,133410,0.0,14,1,18.0,3,18,12,17,3,3,4.0,1.0,2.0
2,0,2,1,6,2,3,130,1,3,6,0,43320,7.0,14,2,8.0,3,5,1,3,2,3,4.0,2.0,3.0
3,0,2,1,2,3,3,131,0,4,3,0,110310,3.0,12,1,8.0,2,5,1,2,2,3,2.0,1.0,3.0
2,0,2,2,9,1,2,132,1,3,7,2,44400,2.0,11,1,18.0,3,1,0,1,2,3,3.0,2.0,2.0
3,0,2,2,10,2,1,133,0,1,7,0,46170,0.0,11,0,25.0,2,25,3,9,3,3,1.0,2.0,3.0
2,0,2,2,6,2,1,134,0,1,2,1,26470,6.0,13,0,20.0,2,1,0,0,2,3,2.0,3.0,3.0
4,0,2,0,9,3,1,135,0,2,4,1,63230,4.0,23,1,24.0,2,4,1,2,2,4,1.0,1.0,2.0
2,0,0,1,28,3,3,136,1,1,2,1,56770,9.0,20,1,6.0,3,3,1,2,3,4,3.0,3.0,3.0
2,0,2,1,10,4,1,137,1,3,7,1,21870,0.0,15,1,13.0,2,13,3,12,2,3,2.0,1.0,1.0
3,0,2,2,27,4,1,139,1,2,8,0,39770,4.0,18,1,8.0,3,5,0,2,3,3,3.0,3.0,3.0
1,0,2,0,7,2,0,140,1,1,4,2,86330,0.0,19,1,5.0,2,5,1,3,4,3,2.0,4.0,3.0
2,0,0,1,1,3,3,141,1,3,2,1,20080,3.0,22,0,15.0,5,13,10,7,2,4,2.0,3.0,3.0
2,0,2,1,24,1,3,142,1,3,2,1,44400,0.0,13,1,4.0,2,4,3,2,3,3,4.0,1.0,3.0
2,0,1,1,26,4,5,143,0,1,7,0,30670,0.0,20,1,21.0,5,21,1,6,1,4,2.0,3.0,3.0
4,0,1,1,20,4,1,144,0,3,7,1,53210,9.0,14,0,36.0,1,7,7,7,3,3,3.0,1.0,2.0
1,0,2,2,5,4,3,145,0,2,4,2,54100,0.0,17,1,5.0,2,5,4,4,3,3,2.0,3.0,3.0
3,0,2,1,7,3,5,146,0,3,6,1,27820,0.0,14,0,10.0,2,10,0,7,2,3,2.0,1.0,3.0
1,0,2,1,7,3,3,147,1,3,0,0,119570,0.0,13,0,10.0,2,10,1,8,2,3,3.0,1.0,3.0
1,1,2,1,5,2,1,148,0,3,2,1,26600,5.0,13,0,6.0,3,2,0,2,3,3,1.0,1.0,3.0
4,0,2,1,26,2,1,149,0,2,8,1,33750,2.0,21,0,28.0,2,5,0,4,2,4,4.0,3.0,3.0
3,0,2,1,2,3,3,150,0,1,7,1,50980,3.0,14,1,8.0,4,2,0,2,3,3,1.0,4.0,2.0
4,0,2,1,12,3,3,151,1,2,6,1,48780,2.0,11,1,31.0,3,5,1,4,3,3,4.0,4.0,1.0
3,0,1,2,10,3,2,152,0,2,0,0,28370,2.0,13,1,19.0,0,5,0,2,2,3,1.0,3.0,3.0
1,0,2,2,25,3,2,153,1,1,7,2,24060,2.0,20,1,11.0,5,5,0,2,3,4,3.0,4.0,3.0
4,0,2,1,10,3,1,154,0,1,4,1,22690,5.0,18,1,33.0,4,29,11,10,3,3,1.0,1.0,1.0
3,0,2,2,19,4,2,155,0,1,7,0,41080,2.0,14,0,19.0,5,10,0,8,2,3,3.0,3.0,2.0
3,0,1,1,18,4,5,156,1,4,7,1,132060,0.0,13,2,6.0,2,6,0,4,3,3,4.0,4.0,4.0
1,1,2,1,27,2,3,157,1,1,6,2,104220,1.0,17,1,6.0,0,5,1,4,2,3,1.0,2.0,3.0
2,1,1,1,5,3,3,158,1,2,6,0,137440,0.0,20,1,2.0,3,2,1,0,3,4,4.0,3.0,2.0
2,0,1,2,3,3,2,159,0,2,7,1,49070,0.0,11,1,1.0,3,1,0,0,3,3,4.0,4.0,3.0
2,0,2,2,26,4,2,160,0,1,7,1,34820,0.0,18,1,20.0,2,20,1,12,2,3,3.0,3.0,3.0
1,0,2,1,3,2,3,161,0,4,0,0,24360,0.0,24,0,3.0,2,3,0,2,4,4,1.0,4.0,1.0
1,0,0,1,15,3,3,162,0,2,7,1,23800,4.0,18,3,9.0,2,5,1,4,2,3,3.0,4.0,1.0
1,0,2,1,8,3,3,163,0,3,4,1,194310,0.0,11,0,10.0,3,10,0,7,3,3,2.0,3.0,3.0
1,1,2,1,19,4,1,164,1,3,6,1,17900,5.0,16,1,6.0,4,2,1,1,2,3,3.0,2.0,4.0
1,1,2,1,4,3,3,165,1,1,7,2,76440,0.0,15,2,1.0,2,1,0,0,3,3,1.0,4.0,4.0
1,0,0,1,2,4,1,166,0,3,6,1,51310,0.0,15,1,9.0,2,9,7,8,3,3,3.0,1.0,3.0
4,0,2,1,2,2,1,167,1,4,6,0,63060,3.0,12,1,32.0,3,1,0,0,3,3,1.0,4.0,2.0
3,0,2,2,10,4,1,168,0,3,3,1,47870,0.0,12,0,27.0,3,27,15,7,3,3,2.0,3.0,3.0
1,0,0,2,10,2,1,169,1,3,2,2,188800,0.0,22,1,11.0,3,11,6,7,3,4,3.0,4.0,2.0
4,0,1,1,16,3,1,170,0,4,2,1,23390,4.0,20,0,22.0,4,18,13,11,3,4,3.0,1.0,4.0
3,0,2,1,1,3,5,171,1,5,4,0,135700,5.0,16,2,20.0,2,5,0,4,2,3,1.0,4.0,3.0
3,0,2,2,4,1,5,172,1,1,2,1,67120,6.0,21,1,26.0,3,3,0,1,2,4,1.0,3.0,1.0
2,0,2,1,15,2,3,173,0,2,2,2,54060,0.0,12,1,5.0,2,5,4,3,3,3,4.0,3.0,3.0
4,0,2,1,2,4,3,174,1,2,1,2,89380,7.0,11,3,19.0,2,1,0,0,3,3,3.0,3.0,3.0
2,0,2,2,8,2,1,175,1,1,2,0,24390,3.0,11,2,14.0,2,7,5,7,4,3,4.0,3.0,3.0
3,0,2,1,2,3,1,176,1,1,0,1,88370,2.0,18,0,15.0,3,3,1,2,2,3,3.0,4.0,3.0
2,0,2,1,7,3,1,177,1,2,5,0,53430,0.0,14,1,13.0,3,13,0,8,3,3,3.0,2.0,4.0
2,1,2,1,10,3,1,178,0,4,5,1,67280,7.0,22,0,15.0,2,7,7,7,2,4,2.0,3.0,4.0
2,1,2,2,5,4,2,179,1,2,5,0,66520,7.0,25,0,8.0,5,4,1,3,3,4,1.0,4.0,3.0
1,0,2,1,2,3,1,180,1,1,7,2,48500,0.0,12,1,3.0,4,3,1,2,3,3,4.0,2.0,3.0
2,0,2,1,12,2,3,181,0,2,8,1,28090,4.0,23,1,10.0,2,8,0,0,1,4,4.0,3.0,3.0
2,1,1,1,22,2,3,182,0,2,7,1,56890,3.0,15,2,12.0,2,1,0,0,2,3,1.0,3.0,3.0
2,1,1,2,17,1,2,183,1,1,5,0,20010,9.0,22,1,11.0,5,3,0,2,4,4,2.0,1.0,3.0
3,0,1,1,2,4,3,184,0,1,6,1,29770,4.0,15,3,8.0,3,2,2,0,2,3,2.0,3.0,3.0
2,0,0,1,3,4,3,185,1,1,6,2,40250,0.0,11,0,10.0,3,10,9,7,3,3,2.0,4.0,2.0
1,1,1,1,7,3,3,186,0,2,2,2,37850,5.0,13,2,4.0,2,2,1,2,3,3,3.0,3.0,3.0
3,0,2,1,6,3,3,187,1,1,2,1,108540,2.0,14,1,14.0,6,9,6,7,3,3,2.0,4.0,3.0
4,0,2,1,1,3,3,188,0,1,7,2,120310,3.0,11,0,37.0,5,10,7,7,3,3,1.0,2.0,3.0
3,0,0,1,3,2,1,189,0,2,6,2,99360,7.0,17,1,16.0,2,14,1,10,2,3,4.0,4.0,3.0
2,0,2,1,22,3,3,190,0,1,8,1,29660,9.0,18,0,15.0,2,11,6,9,2,3,2.0,3.0,3.0
2,0,2,1,15,3,1,191,0,2,2,2,25710,7.0,14,0,22.0,1,20,5,13,3,3,2.0,3.0,3.0
2,0,1,1,12,1,3,192,1,1,6,1,99910,0.0,16,1,8.0,3,8,0,7,3,3,3.0,3.0,3.0
2,0,2,1,1,4,1,193,1,3,5,2,61420,4.0,13,2,10.0,2,6,0,5,2,3,2.0,4.0,4.0
3,0,2,1,5,3,3,194,1,3,7,1,53900,0.0,14,0,10.0,3,10,5,8,3,3,4.0,1.0,2.0
3,0,2,1,2,1,3,195,0,4,7,1,44040,0.0,23,0,8.0,2,8,3,7,3,4,4.0,2.0,4.0
1,1,1,1,2,1,1,196,0,2,2,0,59930,0.0,12,0,7.0,3,7,1,0,3,3,,3.0,2.0
1,0,2,1,5,3,3,197,1,1,6,0,51300,4.0,11,0,8.0,3,3,1,2,2,3,4.0,4.0,4.0
2,0,2,1,16,3,3,198,0,1,2,0,20900,4.0,16,0,10.0,2,6,0,5,3,3,1.0,3.0,3.0
2,0,2,1,2,4,1,199,0,1,7,0,29090,9.0,14,2,10.0,2,5,0,1,3,3,3.0,4.0,2.0
1,1,1,1,2,3,5,200,1,1,7,2,34680,0.0,18,2,0.0,4,0,0,0,4,3,2.0,2.0,3.0
2,0,0,1,1,4,5,201,0,2,2,0,30680,3.0,19,0,20.0,3,1,0,1,2,3,3.0,1.0,3.0
3,0,0,1,23,3,1,202,1,2,4,2,26700,2.0,15,2,10.0,2,8,0,7,2,3,1.0,3.0,3.0
1,0,2,1,9,4,3,203,1,3,0,0,26930,5.0,17,3,8.0,3,0,0,0,2,3,1.0,3.0,3.0
2,0,2,1,16,4,3,204,1,2,1,2,95260,0.0,15,0,5.0,2,5,0,3,2,3,1.0,3.0,3.0
2,0,2,1,26,3,3,205,1,1,2,2,52370,0.0,19,1,10.0,3,10,5,7,2,3,4.0,4.0,3.0
1,1,2,2,1,3,2,206,0,2,4,2,24260,0.0,22,0,1.0,3,1,0,0,1,4,3.0,4.0,1.0
2,0,2,1,8,1,1,207,1,1,7,2,41930,4.0,16,1,12.0,5,6,1,2,3,3,2.0,4.0,4.0
3,0,1,1,4,1,3,208,1,5,1,1,29110,5.0,13,0,28.0,3,2,1,2,3,3,1.0,3.0,2.0
3,0,2,1,24,1,1,209,1,1,5,1,26610,7.0,14,1,22.0,2,18,11,8,3,3,2.0,1.0,3.0
2,0,0,1,7,2,3,210,1,1,7,0,20280,0.0,16,1,9.0,3,9,7,7,3,3,1.0,2.0,3.0
2,1,0,1,7,2,1,212,0,2,5,1,32980,8.0,22,0,6.0,4,4,1,2,2,4,4.0,3.0,3.0
1,0,1,2,22,3,1,213,0,1,0,1,29350,0.0,14,2,2.0,5,2,2,1,2,3,4.0,4.0,3.0
2,0,2,1,5,3,1,214,0,1,6,1,154270,3.0,16,1,18.0,2,1,0,0,3,3,3.0,3.0,3.0
2,0,2,1,1,4,5,215,0,5,6,1,39440,6.0,11,2,8.0,3,6,4,3,3,3,2.0,2.0,2.0
3,0,2,2,21,1,1,216,1,1,7,0,40110,0.0,18,2,31.0,2,31,0,9,1,3,4.0,3.0,3.0
1,0,2,2,1,3,2,217,0,1,7,1,34070,0.0,15,2,6.0,2,6,1,4,2,3,2.0,4.0,3.0
1,0,2,1,19,4,5,218,0,4,7,1,119940,1.0,14,1,6.0,6,5,1,4,3,3,1.0,2.0,4.0
